Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-organizationaffiliations,2,0,0
Cross.list-byid-organizationaffiliations-json,2,1,0
Cross.list-byid-organizationaffiliations-xml,2,2,0
Cross.list-byid-organizations,2,0,2758
Cross.list-byid-organizations-json,2,2,2878
Cross.list-byid-organizations-xml,2,2,2854
Cross.list-byid-parameters,2,1,0
Cross.list-byid-parameters-json,2,2,0
Cross.list-byid-parameters-xml,2,2,0
Cross.list-byid-patients,2,0,822
Cross.list-byid-patients-json,2,0,842
Cross.list-byid-patients-xml,2,2,838
Cross.list-byid-paymentnotices,2,1,0
Cross.list-byid-paymentnotices-json,2,1,0
Cross.list-byid-paymentnotices-xml,2,2,0
Cross.list-byid-paymentreconciliations,2,0,0
Cross.list-byid-paymentreconciliations-json,2,1,0
Cross.list-byid-paymentreconciliations-xml,2,2,0
Cross.list-byid-people,2,0,0
Cross.list-byid-people-json,2,0,0
Cross.list-byid-people-xml,2,1,0
Cross.list-byid-plandefinitions,2,0,0
Cross.list-byid-plandefinitions-json,2,1,0
Cross.list-byid-plandefinitions-xml,2,1,0
Cross.list-byid-practitionerroles,2,0,486
Cross.list-byid-practitionerroles-json,2,1,496
Cross.list-byid-practitionerroles-xml,2,2,494
Cross.list-byid-practitioners,2,0,438
Cross.list-byid-practitioners-json,2,0,448
Cross.list-byid-practitioners-xml,2,1,446
Cross.list-byid-procedures,2,0,0
Cross.list-byid-procedures-json,2,0,0
Cross.list-byid-procedures-xml,2,1,0
Cross.list-byid-provenances,2,0,0
Cross.list-byid-provenances-json,2,1,0
Cross.list-byid-provenances-xml,2,3,0
Cross.list-byid-questionnaireresponses,2,0,0
Cross.list-byid-questionnaireresponses-json,2,1,0
Cross.list-byid-questionnaireresponses-xml,2,2,0
Cross.list-byid-questionnaires,2,1,0
Cross.list-byid-questionnaires-json,2,1,0
Cross.list-byid-questionnaires-xml,2,1,0
Cross.list-byid-relatedpeople,2,0,450
Cross.list-byid-relatedpeople-json,2,2,460
Cross.list-byid-relatedpeople-xml,2,2,458
Cross.list-byid-requestgroups,2,0,0
Cross.list-byid-requestgroups-json,2,1,0
Cross.list-byid-requestgroups-xml,2,1,0
Cross.list-byid-requirements,2,0,0
Cross.list-byid-requirements-json,2,2,0
Cross.list-byid-requirements-xml,2,2,0
Cross.list-byid-researchdefinitions,2,0,0
Cross.list-byid-researchdefinitions-json,2,0,0
Cross.list-byid-researchdefinitions-xml,2,1,0
Cross.list-byid-researchelementdefinitions,2,0,0
Cross.list-byid-researchelementdefinitions-json,2,1,0
Cross.list-byid-researchelementdefinitions-xml,2,2,0
Cross.list-byid-researchstudies,2,0,0
Cross.list-byid-researchstudies-json,2,1,0
Cross.list-byid-researchstudies-xml,2,2,0
Cross.list-byid-researchsubjects,2,0,0
Cross.list-byid-researchsubjects-json,2,1,0
Cross.list-byid-researchsubjects-xml,2,1,0
Cross.list-byid-riskassessments,2,0,0
Cross.list-byid-riskassessments-json,2,1,0
Cross.list-byid-riskassessments-xml,2,2,0
Cross.list-byid-riskevidencesyntheses,2,0,0
Cross.list-byid-riskevidencesyntheses-json,2,1,0
Cross.list-byid-riskevidencesyntheses-xml,2,2,0
Cross.list-byid-schedules,2,0,390
Cross.list-byid-schedules-json,2,0,400
Cross.list-byid-schedules-xml,2,1,398
Cross.list-byid-searchparameters,2,0,0
Cross.list-byid-searchparameters-json,2,1,0
Cross.list-byid-searchparameters-xml,2,2,0
Cross.list-byid-servicerequests,2,0,0
Cross.list-byid-servicerequests-json,2,2,0
Cross.list-byid-servicerequests-xml,2,2,0
Cross.list-byid-slots,2,0,342
Cross.list-byid-slots-json,2,2,352
Cross.list-byid-slots-xml,2,2,350
Cross.list-byid-specimen,2,0,0
Cross.list-byid-specimen-json,2,2,0
Cross.list-byid-specimen-xml,2,2,0
Cross.list-byid-specimendefinitions,2,0,0
Cross.list-byid-specimendefinitions-json,2,1,0
Cross.list-byid-specimendefinitions-xml,2,2,0
Cross.list-byid-structuredefinitions,2,6,40278
Cross.list-byid-structuredefinitions-json,2,7,40918
Cross.list-byid-structuredefinitions-xml,2,9,40790
Cross.list-byid-structuremaps,2,0,0
Cross.list-byid-structuremaps-json,2,1,0
Cross.list-byid-structuremaps-xml,2,2,0
Cross.list-byid-subscriptions,2,0,0
Cross.list-byid-subscriptions-json,2,1,0
Cross.list-byid-subscriptions-xml,2,1,0
Cross.list-byid-subscriptiontopics,2,0,0
Cross.list-byid-subscriptiontopics-json,2,2,0
Cross.list-byid-subscriptiontopics-xml,2,2,0
Cross.list-byid-substancenucleicacids,2,0,0
Cross.list-byid-substancenucleicacids-json,2,1,0
Cross.list-byid-substancenucleicacids-xml,2,2,0
Cross.list-byid-substancepolymers,2,0,0
Cross.list-byid-substancepolymers-json,2,1,0
Cross.list-byid-substancepolymers-xml,2,2,0
Cross.list-byid-substanceproteins,2,0,0
Cross.list-byid-substanceproteins-json,2,1,0
Cross.list-byid-substanceproteins-xml,2,2,0
Cross.list-byid-substancereferenceinformations,2,1,0
Cross.list-byid-substancereferenceinformations-json,2,1,0
Cross.list-byid-substancereferenceinformations-xml,2,2,0
Cross.list-byid-substances,2,0,0
Cross.list-byid-substances-json,2,1,0
Cross.list-byid-substances-xml,2,2,0
Cross.list-byid-substancesourcematerials,2,0,0
Cross.list-byid-substancesourcematerials-json,2,0,0
Cross.list-byid-substancesourcematerials-xml,2,2,0
Cross.list-byid-substancespecifications,2,0,0
Cross.list-byid-substancespecifications-json,2,1,0
Cross.list-byid-substancespecifications-xml,2,2,0
Cross.list-byid-supplydeliveries,2,1,0
Cross.list-byid-supplydeliveries-json,2,2,0
Cross.list-byid-supplydeliveries-xml,2,2,0
